Component,Origin,License,Copyright
go.opentelemetry.io/collector/semconv,https://github.com/open-telemetry/opentelemetry-collector,Apache-2.0,"The OpenTelemetry Authors"
go.opentelemetry.io/otel,https://github.com/open-telemetry/opentelemetry-go,Apache-2.0,"The OpenTelemetry Authors"
go.opentelemetry.io/otel/metric,https://github.com/open-telemetry/opentelemetry-go,Apache-2.0,"The OpenTelemetry Authors"
go.opentelemetry.io/otel/trace,https://github.com/open-telemetry/opentelemetry-go,Apache-2.0,"The OpenTelemetry Authors"
go.uber.org/atomic,https://github.com/uber-go/atomic,MIT,"Uber Technologies, Inc"
go.uber.org/multierr,https://github.com/uber-go/multierr,MIT,"Uber Technologies, Inc"
go.uber.org/zap,https://github.com/uber-go/zap,MIT,"Uber Technologies, Inc"
golang.org/x/exp/constraints,https://github.com/golang/exp,BSD-3-Clause,"The Go Authors"
golang.org/x/mod/semver,https://github.com/golang/mod,BSD-3-Clause,"The Go Authors"
golang.org/x/net,https://github.com/golang/net,BSD-3-Clause,"The Go Authors"
golang.org/x/sync/errgroup,https://github.com/golang/sync,BSD-3-Clause,"The Go Authors"
golang.org/x/sys/unix,https://github.com/golang/sys,BSD-3-Clause,"The Go Authors"
golang.org/x/text,https://github.com/golang/text,BSD-3-Clause,"The Go Authors"
golang.org/x/time/rate,https://github.com/golang/time,BSD-3-Clause,"The Go Authors"
golang.org/x/xerrors,https://github.com/golang/xerrors,BSD-3-Clause,"The Go Authors"
google.golang.org/genproto/googleapis/rpc,https://github.com/googleapis/go-genproto,Apache-2.0,"Google LLC"
google.golang.org/grpc,https://github.com/grpc/grpc-go,Apache-2.0,"Google LLC"
google.golang.org/protobuf,https://github.com/protocolbuffers/protobuf-go,BSD-3-Clause,"The Go Authors"
gopkg.in/ini.v1,https://github.com/go-ini/ini,Apache-2.0,"Unknown"
gopkg.in/yaml.v3,https://github.com/go-yaml/yaml,MIT,"Kirill Simonov"
